,qzGroup,Key_word,E,I,T,F,MBTI_result
202,5717,"['열성적', '추상적', '개방성', '유연성', '창의적', '이상적', '비평적', '능동적']",2,0,1,0,ET
203,5717,"['열성적', '추상적', '개방성', '유연성', '창의적', '이상적', '비평적', '능동적']",2,0,1,0,ET
204,5717,"['열성적', '추상적', '개방성', '유연성', '창의적', '이상적', '비평적', '능동적']",2,0,1,0,ET
205,5743,"['열성적', '추상적', '이상적', '자발성', '능동적', '유연성', '표현적', '현실적']",3,0,0,0,err
206,5743,"['열성적', '추상적', '이상적', '자발성', '능동적', '유연성', '표현적', '현실적']",3,0,0,0,err
207,5743,"['열성적', '추상적', '이상적', '자발성', '능동적', '유연성', '표현적', '현실적']",3,0,0,0,err
208,5771,"['능동적', '열성적', '논리적', '표현적', '이성적', '경험적', '이상적', '비평적']",3,0,3,0,ET
209,5771,"['능동적', '열성적', '논리적', '표현적', '이성적', '경험적', '이상적', '비평적']",3,0,3,0,ET
210,5771,"['능동적', '열성적', '논리적', '표현적', '이성적', '경험적', '이상적', '비평적']",3,0,3,0,ET
211,5797,"['목표지향성', '체계적', '논리적', '능동적', '열성적', '계획적', '구체적', '현실적']",2,0,1,0,ET
212,5797,"['목표지향성', '체계적', '논리적', '능동적', '열성적', '계획적', '구체적', '현실적']",2,0,1,0,ET
213,5797,"['목표지향성', '체계적', '논리적', '능동적', '열성적', '계획적', '구체적', '현실적']",2,0,1,0,ET
214,5919,"['열성적', '계획적', '구체적', '감성적', '허용적', '체계적', '표현적', '목표지향성']",2,0,0,2,EF
215,5919,"['열성적', '계획적', '구체적', '감성적', '허용적', '체계적', '표현적', '목표지향성']",2,0,0,2,EF
216,5919,"['열성적', '계획적', '구체적', '감성적', '허용적', '체계적', '표현적', '목표지향성']",2,0,0,2,EF
217,5960,"['표현적', '열성적', '계획적', '구체적', '허용적', '개방성', '현실적', '창의적']",2,0,0,1,EF
218,5960,"['표현적', '열성적', '계획적', '구체적', '허용적', '개방성', '현실적', '창의적']",2,0,0,1,EF
219,5960,"['표현적', '열성적', '계획적', '구체적', '허용적', '개방성', '현실적', '창의적']",2,0,0,1,EF
220,6034,"['열성적', '능동적', '구체적', '논리적', '표현적', '비평적', '허용적', '계획적']",3,0,2,1,ET
221,6034,"['열성적', '능동적', '구체적', '논리적', '표현적', '비평적', '허용적', '계획적']",3,0,2,1,ET
222,6034,"['열성적', '능동적', '구체적', '논리적', '표현적', '비평적', '허용적', '계획적']",3,0,2,1,ET
223,6059,"['계획적', '논리적', '이성적', '목표지향성', '능동적', '열성적', '허용적', '구체적']",2,0,2,1,ET
224,6059,"['계획적', '논리적', '이성적', '목표지향성', '능동적', '열성적', '허용적', '구체적']",2,0,2,1,ET
225,6059,"['계획적', '논리적', '이성적', '목표지향성', '능동적', '열성적', '허용적', '구체적']",2,0,2,1,ET
226,6063,"['체계적', '목표지향성', '자발성', '구체적', '현실적', '논리적', '능동적', '정적']",1,1,1,0,err
227,6063,"['체계적', '목표지향성', '자발성', '구체적', '현실적', '논리적', '능동적', '정적']",1,1,1,0,err
228,6063,"['체계적', '목표지향성', '자발성', '구체적', '현실적', '논리적', '능동적', '정적']",1,1,1,0,err
229,6166,"['정서적', '감성적', '허용적', '표현적', '열성적', '계획적', '현실적', '경험적']",2,0,0,3,EF
230,6166,"['정서적', '감성적', '허용적', '표현적', '열성적', '계획적', '현실적', '경험적']",2,0,0,3,EF
231,6166,"['정서적', '감성적', '허용적', '표현적', '열성적', '계획적', '현실적', '경험적']",2,0,0,3,EF
232,6195,"['구체적', '체계적', '목표지향성', '계획적', '열성적', '허용적', '현실적', '이성적']",1,0,1,1,err
233,6195,"['구체적', '체계적', '목표지향성', '계획적', '열성적', '허용적', '현실적', '이성적']",1,0,1,1,err
234,6195,"['구체적', '체계적', '목표지향성', '계획적', '열성적', '허용적', '현실적', '이성적']",1,0,1,1,err
235,6244,"['정서적', '보유적', '구체적', '현실적', '경험적', '감성적', '허용적', '계획적']",0,1,0,3,IF
