qzGroup,pass_video,fileUrl,emotion_fear,emotion_aversion,emotion_happy,emotion_sadness,emotion_angry,emotion_neutral,face_angle,shoulder_angle,left_shoulder,left_shoulder_move_count,right_shoulder,right_shoulder_move_count,center_shoulder,center_shoulder_left_move_count,center_shoulder_right_move_count,left_hand_time,left_hand_move_count,right_hand_time,right_hand_move_count,gaze_x_score,gaze_y_score,shoulder_vertical_score,shoulder_horizon_score,face_angle_score,gesture_score
13368,o,https://withmind.cache.smilecdn.com/vod/1611027457531_1_4746.mp4,0,1.33911,0.49086,0.00084,0.03351,98.02395,2.77211,0.00576,"{""low_spot"": {""x"": 123, ""y"": 437}, ""high_spot"": {""x"": 160, ""y"": 411}}",2,"{""low_spot"": {""x"": 440, ""y"": 431}, ""high_spot"": {""x"": 423, ""y"": 430}}",1,"{""left_spot"": {""x"": 270, ""y"": 430}, ""right_spot"": {""x"": 309, ""y"": 429}}",1,0,0,0,0,0,60,80,100,60,80,100
13368,o,https://withmind.cache.smilecdn.com/vod/1611027557609_2_4746.mp4,1.00E-05,4.33259,0.17593,0.11329,0.13093,94.76783,2.33539,-1.00E-05,"{""low_spot"": {""x"": 123, ""y"": 439}, ""high_spot"": {""x"": 144, ""y"": 422}}",2,"{""low_spot"": {""x"": 439, ""y"": 433}, ""high_spot"": {""x"": 435, ""y"": 424}}",0,"{""left_spot"": {""x"": 251, ""y"": 428}, ""right_spot"": {""x"": 289, ""y"": 428}}",0,0,0,0,0,0,60,80,100,60,80,100
13368,o,https://withmind.cache.smilecdn.com/vod/1611027656814_3_4746.mp4,0.00024,8.00445,0.28425,0.01787,0.21927,91.1903,2.47207,-0.00806,"{""low_spot"": {""x"": 93, ""y"": 442}, ""high_spot"": {""x"": 143, ""y"": 414}}",2,"{""low_spot"": {""x"": 444, ""y"": 435}, ""high_spot"": {""x"": 427, ""y"": 414}}",4,"{""left_spot"": {""x"": 260, ""y"": 438}, ""right_spot"": {""x"": 290, ""y"": 437}}",1,0,0,0,0,0,60,60,100,60,80,100
13369,x,https://withmind.cache.smilecdn.com/vod/1611059082916_1_4826.mp4,0,0,0,0,0,0,0,0,"{""low_spot"": {""x"": 0, ""y"": 0}, ""high_spot"": {""x"": 0, ""y"": 0}}",0,"{""low_spot"": {""x"": 0, ""y"": 0}, ""high_spot"": {""x"": 0, ""y"": 0}}",0,"{""left_spot"": {""x"": 0, ""y"": 0}, ""right_spot"": {""x"": 0, ""y"": 0}}",0,0,0,0,0,0,100,100,100,100,100,100
13369,x,https://withmind.cache.smilecdn.com/vod/1611059129185_2_4826.mp4,0,0,0,0,0,0,0,0,"{""low_spot"": {""x"": 0, ""y"": 0}, ""high_spot"": {""x"": 0, ""y"": 0}}",0,"{""low_spot"": {""x"": 0, ""y"": 0}, ""high_spot"": {""x"": 0, ""y"": 0}}",0,"{""left_spot"": {""x"": 0, ""y"": 0}, ""right_spot"": {""x"": 0, ""y"": 0}}",0,0,0,0,0,0,100,100,100,100,100,100
13369,x,https://withmind.cache.smilecdn.com/vod/1611059172741_3_4826.mp4,0,0,0,0,0,0,0,0,"{""low_spot"": {""x"": 0, ""y"": 0}, ""high_spot"": {""x"": 0, ""y"": 0}}",0,"{""low_spot"": {""x"": 0, ""y"": 0}, ""high_spot"": {""x"": 0, ""y"": 0}}",0,"{""left_spot"": {""x"": 0, ""y"": 0}, ""right_spot"": {""x"": 0, ""y"": 0}}",0,0,0,0,0,0,100,100,100,100,100,100
13370,o,https://withmind.cache.smilecdn.com/vod/1611073294817_1_4788.mp4,0,0.03047,3.04975,96.13157,0,0.78821,2.21189,-0.007,"{""low_spot"": {""x"": 45, ""y"": 540}, ""high_spot"": {""x"": 76, ""y"": 521}}",1,"{""low_spot"": {""x"": 445, ""y"": 538}, ""high_spot"": {""x"": 432, ""y"": 517}}",1,"{""left_spot"": {""x"": 237, ""y"": 526}, ""right_spot"": {""x"": 267, ""y"": 524}}",1,1,0,0,15.33333333,7,60,80,100,60,80,100
13370,o,https://withmind.cache.smilecdn.com/vod/1611073355940_2_4788.mp4,0,0.26487,0.14108,98.16513,0,1.42892,2.09006,0.04115,"{""low_spot"": {""x"": 73, ""y"": 519}, ""high_spot"": {""x"": 78, ""y"": 500}}",0,"{""low_spot"": {""x"": 441, ""y"": 533}, ""high_spot"": {""x"": 426, ""y"": 519}}",0,"{""left_spot"": {""x"": 244, ""y"": 517}, ""right_spot"": {""x"": 260, ""y"": 521}}",0,1,12.33333333,7,0,0,80,100,100,80,80,100
13370,o,https://withmind.cache.smilecdn.com/vod/1611073419818_3_4788.mp4,0,0.03804,2.00E-05,97.83485,0,2.12709,3.86921,0.01769,"{""low_spot"": {""x"": 54, ""y"": 561}, ""high_spot"": {""x"": 59, ""y"": 543}}",0,"{""low_spot"": {""x"": 450, ""y"": 568}, ""high_spot"": {""x"": 442, ""y"": 548}}",0,"{""left_spot"": {""x"": 242, ""y"": 559}, ""right_spot"": {""x"": 256, ""y"": 560}}",0,0,0,0,0,0,100,80,100,80,80,100
13372,o,https://withmind.cache.smilecdn.com/vod/1611131364261_1_4788.mp4,0,42.24528,5.38266,0.09844,26.38263,25.89099,0.07734,-0.0051,"{""low_spot"": {""x"": 6, ""y"": 563}, ""high_spot"": {""x"": 4, ""y"": 512}}",6,"{""low_spot"": {""x"": 479, ""y"": 557}, ""high_spot"": {""x"": 439, ""y"": 533}}",2,"{""left_spot"": {""x"": 213, ""y"": 546}, ""right_spot"": {""x"": 274, ""y"": 555}}",0,1,8.5,1,0,0,60,80,100,60,100,100
